match_id,elapsed_time,set_no,p1_games,p2_games,set_victor,game_no,game_victor,point_no,point_victor,server,speed_mph,Rally,P1Score,P2Score,P1Momentum,P2Momentum,P1PointsWon,P2PointsWon,P1Ace,P2Ace,P1Winner,P2Winner,P1DoubleFault,P2DoubleFault,P1UnfErr,P2UnfErr,P1NetPoint,P2NetPoint,P1NetPointWon,P2NetPointWon,P1BreakPoint,P2BreakPoint,P1BreakPointWon,P2BreakPointWon,P1FirstSrvIn,P2FirstSrvIn,P1FirstSrvWon,P2FirstSrvWon,P1SecondSrvIn,P2SecondSrvIn,P1SecondSrvWon,P2SecondSrvWon,P1ForcedError,P2ForcedError,History,Speed_MPH,P1BreakPointMissed,P2BreakPointMissed,ServeIndicator,Serve_Direction,Winner_FH,Winner_BH,ServingTo,P1TurningPoint,P2TurningPoint,ServeNumber,WinnerType,WinnerShotType,p1_distance_run,p2_distance_run,rally_count,serve_width,serve_depth,return_depth,p1_sets,p2_sets,p1_score,p2_score,comprehensive_momentum_1,comprehensive_momentum_2
2018-ausopen-XD113,,1,0,0,0,1,0,1,2,2,155,,0,15,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,11,11,0,0,0.0,0.0
2018-ausopen-XD113,,1,0,0,0,1,0,2,1,2,165,,15,15,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,11,11,15,0,-0.02,0.0246
2018-ausopen-XD113,,1,0,0,0,1,0,3,2,2,175,,15,30,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,11,11,15,15,-0.03820799999999999,0.049521840000000004
2018-ausopen-XD113,,1,0,0,0,1,0,4,2,2,190,,15,40,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,11,11,15,30,-0.07398106393599999,0.09602339963328
2018-ausopen-XD113,,1,0,0,0,1,0,5,2,2,176,,0,0,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,11,11,15,40,-0.14489737781749065,0.18972344483669318
2018-ausopen-XD113,,1,0,0,0,2,0,6,1,1,0,,15,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,11,11,30,40,-0.2655021612110168,0.35030877155642454
2018-ausopen-XD113,,1,0,0,0,2,0,7,1,1,190,,30,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,11,11,40,40,-0.40182894645170464,0.5463806128526061
2018-ausopen-XD113,,1,0,0,0,2,0,8,1,1,162,,40,0,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,13,,,,11,11,A,40,-0.5217411306555537,0.7317992703676727
2018-ausopen-XD113,,1,1,0,0,2,1,9,1,1,173,,0,0,,,,,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,11,11,0,0,-0.597123160320093,0.8911106224708942
2018-ausopen-XD113,,1,1,0,0,3,0,10,2,2,137,,0,15,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,11,11,0,15,-0.6050302956513292,1.0019138933194656
2018-ausopen-XD113,,1,1,0,0,3,0,11,2,2,151,,0,30,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,11,11,0,30,-0.5684703949978355,1.0928099549776396
2018-ausopen-XD113,,1,1,0,0,3,0,12,2,2,136,,0,40,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,11,11,0,40,-0.3190857132395916,0.9620947494758869
2018-ausopen-XD113,,1,1,0,0,3,0,13,1,2,139,,15,40,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,10,,,,11,11,15,40,-0.29694853180901115,1.1697344841746098
2018-ausopen-XD113,,1,1,0,0,3,0,14,1,2,127,,30,40,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,,,11,11,30,40,-0.04465170750165144,1.1250620469589465
2018-ausopen-XD113,,1,1,1,0,3,2,15,2,2,151,,0,0,,,,,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,11,11,0,0,0.43983380272368766,0.8007894569356481
2018-ausopen-XD113,,1,1,1,0,4,0,16,1,1,170,,15,0,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,11,11,15,0,1.1778283835958507,0.2895040659847809
