match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,comprehensive_momentum_1,comprehensive_momentum_2
2023-wimbledon-1402,Grigor Dimitrov,Holger Rune,00:00:00,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,B,0,0,0,0,1,0,1,0,0,0,0,0,0,0,17.567,22.066,5,120.0,BW,NCTL,ND,0.0,0.0
2023-wimbledon-1402,Grigor Dimitrov,Holger Rune,00:00:29,1,1,2,0,0,0,0,15,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.351,16.25,5,94.0,BW,NCTL,D,1.3382868852459016,-1.1082868852459016
2023-wimbledon-1402,Grigor Dimitrov,Holger Rune,00:01:11,1,1,3,0,0,0,0,30,0,1,2,1,3,0,0,0,0,0,1,0,F,0,0,0,0,1,0,1,0,0,0,0,0,0,0,13.674,15.22,5,102.0,BC,NCTL,ND,2.7473606557377046,-2.197360655737705
2023-wimbledon-1402,Grigor Dimitrov,Holger Rune,00:02:08,1,1,4,0,0,0,0,40,0,1,2,2,3,1,0,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.11,11.423,4,96.0,BW,NCTL,ND,4.3263060109289615,-3.2763060109289617
2023-wimbledon-1402,Grigor Dimitrov,Holger Rune,00:02:48,1,1,5,0,0,0,0,40,15,1,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.752,12.444,2,100.0,C,NCTL,ND,3.342681967213114,-2.192681967213115
2023-wimbledon-1402,Grigor Dimitrov,Holger Rune,00:03:32,1,1,6,0,0,0,0,40,30,1,1,2,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54.7,52.062,14,131.0,W,CTL,D,0.1790442622950822,0.0009557377049181325
2023-wimbledon-1402,Grigor Dimitrov,Holger Rune,00:04:26,1,1,7,0,0,0,0,40,40,1,2,2,3,4,0,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,23.058,27.678,8,102.0,BC,NCTL,ND,-3.186787978142076,2.9967879781420765
2023-wimbledon-1402,Grigor Dimitrov,Holger Rune,00:05:21,1,1,8,0,0,0,0,40,AD,1,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.27,3.789,1,131.0,C,NCTL,ND,-5.91753005464481,5.777530054644809
2023-wimbledon-1402,Grigor Dimitrov,Holger Rune,00:05:49,1,1,9,0,0,0,0,40,40,1,1,1,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.713,5.169,1,122.0,W,CTL,ND,-3.4300486338797813,3.8700486338797813
2023-wimbledon-1402,Grigor Dimitrov,Holger Rune,00:06:17,1,1,10,0,0,0,0,AD,40,1,1,1,6,4,1,0,0,0,1,0,F,0,0,0,0,1,0,1,0,0,0,0,0,0,0,55.34,60.437,13,137.0,C,NCTL,D,-0.9398442622950822,1.1198442622950822
2023-wimbledon-1402,Grigor Dimitrov,Holger Rune,00:07:54,1,2,11,0,0,1,0,0,0,2,1,2,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769,0.846,1,115.0,W,CTL,,3.189373770491803,-2.579373770491803
2023-wimbledon-1402,Grigor Dimitrov,Holger Rune,00:08:14,1,2,12,0,0,1,0,0,15,2,1,1,7,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.813,5.813,2,125.0,BW,NCTL,ND,4.080287978142076,-2.600287978142077
