match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,comprehensive_momentum_1,comprehensive_momentum_2,serve_width_B,serve_width_BC,serve_width_BW,serve_width_C,serve_width_W,serve_depth_CTL,serve_depth_NCTL,return_depth_D,return_depth_ND
2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,00:00:00,1,1,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.73,5.834,1,102.0,B,NCTL,ND,0.0,0.0,1,0,0,0,0,0,1,0,1
2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,00:00:54,1,1,2,0,0,0,0,15,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,14.427,19.436,4,127.0,B,NCTL,D,0.024726382513661202,-0.020126382513661202,1,0,0,0,0,0,1,1,0
2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,00:01:25,1,1,3,0,0,0,0,15,15,1,2,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.596,8.51,2,102.0,B,NCTL,D,0.048413105416393445,-0.03709926541639344,1,0,0,0,0,0,1,1,0
2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,00:02:11,1,1,4,0,0,0,0,15,30,1,1,1,2,2,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.03,43.953,11,121.0,BC,NCTL,D,0.04346834648137219,-0.028826010784092183,0,1,0,0,0,0,1,1,0
2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,00:02:55,1,1,5,0,0,0,0,30,30,1,2,2,2,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,24.027,35.431,6,105.0,BC,CTL,D,0.04702730446595972,-0.026607717030757257,0,1,0,0,0,1,0,1,0
2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,00:03:47,1,1,6,0,0,0,0,30,40,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4.85,8.159,1,132.0,W,NCTL,ND,0.03327647847869909,-0.005560728701943605,0,0,0,0,1,0,1,0,1
2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,00:04:18,1,1,7,0,0,0,0,40,40,1,1,1,4,3,0,0,0,0,1,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.146,26.369,7,113.0,B,CTL,ND,0.023437658635884016,0.01156229739106793,1,0,0,0,0,1,0,0,1
2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,00:04:59,1,1,8,0,0,0,0,AD,40,1,1,1,5,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.097,17.608,5,118.0,BC,NCTL,ND,0.05381636612025168,0.00016343022399052318,0,1,0,0,0,0,1,0,1
2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,00:06:19,1,2,9,0,0,1,0,0,0,2,2,2,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.495,8.964,3,105.0,BC,NCTL,D,0.14684587939514565,-0.057521223338784386,0,1,0,0,0,0,1,1,0
2023-wimbledon-1501,Carlos Alcaraz,Holger Rune,00:06:53,1,2,10,0,0,1,0,0,15,2,2,1,6,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8.039,8.862,0,,W,CTL,ND,0.27809254083631635,-0.1271781130772034,0,0,0,0,1,1,0,0,1
