Label,p1_sets,p2_sets,p1_games,p2_games,rally_count,speed_mph,server
0,0,0,1,2,1,"speed_mph    133
speed_mph    133
Name: 18, dtype: int64",2
1,0,1,1,0,1,"speed_mph    179
speed_mph    179
Name: 60, dtype: int64",1
1,0,1,2,1,1,"speed_mph    133
speed_mph    133
Name: 71, dtype: int64",1
0,1,1,3,1,3,"speed_mph    0
speed_mph    0
Name: 21, dtype: int64",2
0,1,1,4,2,3,"speed_mph    0
speed_mph    0
Name: 29, dtype: int64",2
1,1,2,2,1,2,"speed_mph    0
speed_mph    0
Name: 79, dtype: int64",1
0,1,2,5,4,2,"speed_mph    0
speed_mph    0
Name: 5, dtype: int64",2
1,2,2,2,1,1,"speed_mph    0
speed_mph    0
Name: 26, dtype: int64",1
0,3,2,0,1,1,"speed_mph    0
speed_mph    0
Name: 64, dtype: int64",2
0,3,2,3,3,1,"speed_mph    175
speed_mph    175
Name: 0, dtype: int64",2
1,3,2,4,4,2,"speed_mph    143
speed_mph    143
Name: 8, dtype: int64",2
0,3,2,5,6,2,"speed_mph    177
speed_mph    177
Name: 25, dtype: int64",1
1,3,3,2,4,4,"speed_mph    133
speed_mph    133
Name: 65, dtype: int64",2
1,3,4,1,0,1,"speed_mph    201
speed_mph    201
Name: 93, dtype: int64",2
0,3,4,1,1,2,"speed_mph    152
speed_mph    152
Name: 0, dtype: int64",2
1,3,4,3,1,0,"speed_mph    180
speed_mph    180
Name: 8, dtype: int64",1
0,4,4,2,1,2,"speed_mph    149
speed_mph    149
Name: 78, dtype: int64",1
0,5,4,2,1,1,"speed_mph    159
speed_mph    159
Name: 32, dtype: int64",2
1,5,4,4,4,2,"speed_mph    145
speed_mph    145
Name: 67, dtype: int64",2
0,6,4,1,2,7,"speed_mph    156
speed_mph    156
Name: 92, dtype: int64",2
1,6,4,3,5,2,"speed_mph    144
speed_mph    144
Name: 126, dtype: int64",1
0,6,5,3,3,1,"speed_mph    0
speed_mph    0
Name: 10, dtype: int64",2
0,7,5,0,2,2,"speed_mph    0
speed_mph    0
Name: 41, dtype: int64",2
1,7,6,0,0,3,"speed_mph    0
speed_mph    0
Name: 87, dtype: int64",2
1,7,6,1,0,3,"speed_mph    0
speed_mph    0
Name: 92, dtype: int64",2
1,7,6,5,2,0,"speed_mph    207
speed_mph    207
Name: 0, dtype: int64",1
0,7,6,5,3,6,"speed_mph    192
speed_mph    192
Name: 6, dtype: int64",1
0,7,7,0,0,2,"speed_mph    139
speed_mph    139
Name: 37, dtype: int64",1
1,7,7,2,4,0,"speed_mph    211
speed_mph    211
Name: 72, dtype: int64",1
1,7,7,2,5,1,"speed_mph    135
speed_mph    135
Name: 78, dtype: int64",1
0,7,8,0,0,4,"speed_mph    180
speed_mph    180
Name: 0, dtype: int64",2
1,7,8,2,0,11,"speed_mph    170
speed_mph    170
Name: 10, dtype: int64",1
1,7,8,5,3,2,"speed_mph    126
speed_mph    126
Name: 77, dtype: int64",1
0,8,8,3,2,1,"speed_mph    157
speed_mph    157
Name: 109, dtype: int64",2
0,8,8,4,2,3,"speed_mph    171
speed_mph    171
Name: 0, dtype: int64",2
1,8,8,4,2,1,"speed_mph    168
speed_mph    168
Name: 1, dtype: int64",2
0,8,8,5,3,3,"speed_mph    155
speed_mph    155
Name: 13, dtype: int64",2
0,9,8,2,2,3,"speed_mph    152
speed_mph    152
Name: 44, dtype: int64",2
1,9,8,4,5,4,"speed_mph    127
speed_mph    127
Name: 71, dtype: int64",1
0,9,9,0,0,3,"speed_mph    182
speed_mph    182
Name: 73, dtype: int64",2
1,9,9,2,1,3,"speed_mph    134
speed_mph    134
Name: 93, dtype: int64",1
1,9,9,4,2,5,"speed_mph    146
speed_mph    146
Name: 115, dtype: int64",1
0,9,9,5,4,4,"speed_mph    182
speed_mph    182
Name: 0, dtype: int64",1
1,9,9,5,4,1,"speed_mph    157
speed_mph    157
Name: 1, dtype: int64",1
