match_id,elapsed_time,set_no,p1_games,p2_games,set_victor,game_no,game_victor,point_no,point_victor,server,Speed_KMH,Rally,P1Score,P2Score,P1Momentum,P2Momentum,P1PointsWon,P2PointsWon,P1Ace,P2Ace,P1Winner,P2Winner,P1DoubleFault,P2DoubleFault,P1UnfErr,P2UnfErr,P1NetPoint,P2NetPoint,P1NetPointWon,P2NetPointWon,P1BreakPoint,P2BreakPoint,P1BreakPointWon,P2BreakPointWon,P1FirstSrvIn,P2FirstSrvIn,P1FirstSrvWon,P2FirstSrvWon,P1SecondSrvIn,P2SecondSrvIn,P1SecondSrvWon,P2SecondSrvWon,P1ForcedError,P2ForcedError,History,Speed_MPH,P1BreakPointMissed,P2BreakPointMissed,ServeIndicator,Serve_Direction,Winner_FH,Winner_BH,ServingTo,P1TurningPoint,P2TurningPoint,ServeNumber,WinnerType,WinnerShotType,p1_distance_run,p2_distance_run,rally_count,serve_width,serve_depth,return_depth,p1_sets,p2_sets,p1_score,p2_score
2018-ausopen-XD101,,1,0,0,0,1,0,1,1,1,177,,15,0,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,0,0,15,0
2018-ausopen-XD101,,1,0,0,0,1,0,2,2,1,165,,15,15,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,0,0,15,15
2018-ausopen-XD101,,1,0,0,0,1,0,3,1,1,150,,30,15,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,11,,,,0,0,30,15
2018-ausopen-XD101,,1,0,0,0,1,0,4,1,1,163,,40,15,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,0,0,40,15
2018-ausopen-XD101,,1,1,0,0,1,1,5,1,1,181,,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,0,0,0,0
2018-ausopen-XD101,,1,1,0,0,2,0,6,2,2,0,,0,15,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,0,0,0,15
2018-ausopen-XD101,,1,1,0,0,2,0,7,2,2,151,,0,30,,,,,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,0,0,0,30
2018-ausopen-XD101,,1,1,0,0,2,0,8,2,2,152,,0,40,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,0,0,0,40
2018-ausopen-XD101,,1,1,1,0,2,2,9,2,2,155,,0,0,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,0,0,0,0
2018-ausopen-XD101,,1,1,1,0,3,0,10,2,1,130,,0,15,,,,,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,6,,,,0,0,0,15
2018-ausopen-XD101,,1,1,1,0,3,0,11,1,1,147,,15,15,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,0,0,15,15
2018-ausopen-XD101,,1,1,1,0,3,0,12,1,1,144,,30,15,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,0,0,30,15
2018-ausopen-XD101,,1,1,1,0,3,0,13,2,1,149,,30,30,,,,,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,4,,,,0,0,30,30
2018-ausopen-XD101,,1,1,1,0,3,0,14,1,1,153,,40,30,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,0,0,40,30
2018-ausopen-XD101,,1,1,1,0,3,0,15,2,1,129,,40,40,,,,,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,0,0,40,40
2018-ausopen-XD101,,1,1,1,0,3,0,16,1,1,150,,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,0,0,A,40
2018-ausopen-XD101,,1,1,1,0,4,0,17,2,2,116,,0,15,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,0,0,A,A
2018-ausopen-XD101,,1,1,1,0,4,0,18,2,2,142,,0,30,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,7,,,,0,0,A,A
2018-ausopen-XD101,,1,1,2,0,4,0,19,2,2,133,,0,40,,,,,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,0,0,0,0
2018-ausopen-XD101,,1,1,2,0,4,0,20,2,2,157,,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,0,0,0,15
2018-ausopen-XD101,,1,1,2,0,5,0,21,2,1,178,,0,15,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,0,0,0,30
2018-ausopen-XD101,,1,1,2,0,5,0,22,1,1,189,,15,15,,,,,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,0,0,15,30
2018-ausopen-XD101,,1,1,2,0,5,0,23,2,1,142,,15,30,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,6,,,,0,0,15,40
2018-ausopen-XD101,,1,1,2,0,5,0,24,1,1,160,,30,30,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,0,0,30,40
2018-ausopen-XD101,,1,1,2,0,5,0,25,1,1,172,,40,30,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,0,0,40,40
2018-ausopen-XD101,,1,1,2,0,5,0,26,2,1,165,,40,40,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,4,,,,0,0,40,A
2018-ausopen-XD101,,1,1,2,0,5,0,27,1,1,171,,0,0,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,0,0,A,A
