Label,p1_sets,p2_sets,p1_games,p2_games,p2_double_fault,p1_unf_err,p2_unf_err,rally_count,speed_mph,return_depth_D,return_depth_ND,distance_diff,p2_distance_run,p1_distance_run
1,0,0,4,3,0,0,0,16,106.0,1,0,-7.424999999999997,54.356,61.781
0,1,0,2,4,0,0,0,3,125.0,0,0,-2.3290000000000006,10.798,13.127
0,1,0,5,5,0,0,1,2,105.0,1,0,-2.1020000000000003,8.844,10.946
1,1,1,2,1,0,0,0,6,133.0,0,1,-3.6209999999999987,21.594,25.215
0,2,1,0,2,0,0,0,3,124.0,0,0,-1.6910000000000007,13.638,15.329
1,2,1,2,4,0,0,0,1,129.0,1,0,-1.9159999999999995,4.538,6.454
0,2,1,5,5,0,0,0,2,92.0,1,0,0.6660000000000004,11.492,10.826
1,2,1,5,5,0,0,0,9,130.0,0,1,-0.8109999999999999,25.256,26.067
1,0,0,2,2,0,0,0,1,106.0,0,0,-0.617,3.404,4.021
1,0,1,2,1,0,0,0,1,113.0,0,0,-0.832,0.654,1.486
0,0,1,6,6,0,0,0,1,124.0,0,0,-1.0750000000000002,0.691,1.766
1,0,0,1,1,0,0,0,15,104.0,0,1,-13.702000000000005,54.076,67.778
0,0,2,2,1,0,0,0,3,130.0,0,1,-5.5329999999999995,8.808,14.341
1,0,0,3,2,0,0,0,5,111.0,0,1,-8.319,13.534,21.853
1,0,1,2,1,0,0,1,2,120.0,1,0,-6.65,12.414,19.064
0,1,1,0,0,0,0,1,2,85.0,0,1,-5.056,7.575,12.631
1,1,1,0,0,0,0,0,5,113.0,1,0,-5.936,18.464,24.4
0,1,1,4,2,0,0,0,4,104.0,0,1,-5.635,15.862,21.497
1,1,1,5,3,0,0,0,9,83.0,1,0,-2.729999999999997,30.622,33.352
0,2,1,1,1,0,0,0,3,99.0,0,0,-5.164,13.568,18.732
1,2,1,1,1,0,0,0,14,97.0,0,1,-2.486000000000004,52.419,54.905
1,2,1,5,3,0,0,0,9,97.0,1,0,0.9939999999999998,28.402,27.408
0,0,0,0,0,0,0,0,1,102.0,0,0,-0.43700000000000006,1.283,1.72
1,0,0,1,1,0,0,0,4,120.0,0,1,-3.710000000000001,18.723,22.433
0,1,0,1,1,0,0,1,4,126.0,0,1,-2.6740000000000013,11.161,13.835
1,2,0,3,2,0,0,0,1,117.0,0,1,-0.9830000000000005,9.131,10.114
1,2,2,3,2,0,0,1,2,104.0,0,1,-4.223000000000001,8.779,13.002
0,0,0,3,2,0,0,0,7,101.0,0,1,-3.9450000000000003,20.839,24.784
1,1,0,6,6,0,0,0,1,102.0,0,1,2.1740000000000004,8.381,6.207
1,2,0,3,2,0,1,0,1,90.0,1,0,-0.367,4.597,4.964
0,0,0,0,0,0,0,0,1,114.0,0,1,0.6929999999999996,5.42,4.727
1,0,0,1,1,0,0,0,5,125.0,1,0,-1.9370000000000012,21.115,23.052
0,0,1,3,3,0,0,0,8,125.0,0,0,0.29400000000000404,37.957,37.663
0,0,2,1,2,0,0,0,1,110.0,0,1,-1.338,4.433,5.771
0,0,2,3,4,0,0,0,11,123.0,0,1,3.5209999999999972,35.038,31.517
0,0,0,0,0,0,0,0,8,104.0,0,1,-2.460000000000001,17.9,20.36
1,0,1,1,0,0,0,0,2,130.0,0,1,-1.178,3.224,4.402
1,1,1,3,2,1,0,1,0,113.17894736842103,0,1,-0.0860000000000003,4.987,5.073
0,2,1,0,2,0,0,0,1,108.0,0,0,0.049000000000000155,1.322,1.273
0,2,1,2,2,0,0,1,12,98.0,0,1,-0.892000000000003,40.948,41.84
0,2,1,4,4,0,0,1,4,115.0,0,1,0.2649999999999988,11.007,10.742
0,0,0,0,0,0,0,0,3,117.0,0,1,-2.0930000000000017,12.274,14.367
0,0,0,3,3,0,0,0,3,86.0,0,1,-2.7029999999999994,10.653,13.356
0,0,1,4,2,0,0,0,3,112.0,1,0,-6.0550000000000015,10.844,16.899
0,2,1,1,1,0,0,0,1,83.0,1,0,-1.463,6.091,7.554
0,2,1,5,5,0,0,0,4,97.0,0,1,0.7539999999999996,12.455,11.701
0,0,0,3,2,0,1,0,9,82.0,1,0,-8.910999999999994,38.496,47.407
1,0,0,5,2,0,0,1,10,91.0,1,0,-22.926000000000002,31.924,54.85
0,1,0,1,1,0,1,0,1,95.0,0,1,-0.6109999999999998,4.518,5.129
1,1,0,4,4,0,1,0,5,121.0,1,0,-1.3360000000000003,14.051,15.387
0,1,1,6,6,0,0,0,7,86.0,1,0,0.7859999999999943,37.666,36.88
1,2,1,0,0,0,0,0,4,98.0,0,1,-7.679999999999998,15.877,23.557
1,0,0,5,3,0,0,0,3,124.0,0,1,-3.812999999999999,9.893,13.706
1,2,0,4,3,0,0,0,1,108.0,0,1,-0.21500000000000075,4.14,4.355
0,2,0,6,5,0,0,0,3,111.0,0,1,0.7810000000000006,9.519,8.738
1,0,0,2,2,0,0,0,3,126.0,0,1,2.3610000000000007,15.237,12.876
0,0,0,0,0,0,0,0,1,124.0,1,0,-1.5750000000000002,5.543,7.118
0,0,0,0,0,0,0,1,6,113.0,0,1,-3.780000000000001,26.569,30.349
0,0,0,0,0,0,0,0,5,130.0,1,0,-6.515000000000001,23.585,30.1
0,1,1,0,0,0,0,0,3,124.0,0,1,-1.6879999999999988,8.156,9.844
0,1,1,4,2,0,0,0,1,116.0,0,1,-1.5650000000000004,4.983,6.548
1,1,1,5,3,0,1,0,3,105.0,0,1,6.429,20.654,14.225
0,1,0,1,1,0,0,0,1,114.0,1,0,-0.9189999999999998,1.679,2.598
1,1,0,1,1,0,0,0,2,95.0,0,1,-3.0150000000000006,18.128,21.143
0,1,0,4,4,0,1,0,7,122.0,1,0,-3.219000000000001,30.939,34.158
0,1,2,0,0,0,0,0,1,118.0,0,1,-1.4620000000000002,2.077,3.539
0,0,0,0,0,0,0,0,3,112.0,0,1,2.557999999999998,18.557,15.999
0,0,0,5,3,0,0,0,3,117.0,0,0,1.6579999999999995,9.004,7.346
0,0,0,1,2,0,0,0,3,94.0,0,1,1.7119999999999997,15.471,13.759
1,0,1,6,6,0,0,0,3,106.0,0,1,-0.4620000000000015,8.857,9.319
1,1,2,4,4,0,0,0,4,118.0,1,0,-4.151,21.651,25.802
0,2,2,3,3,0,0,0,2,92.0,1,0,-6.372,9.234,15.606
0,0,0,0,0,0,0,0,7,117.0,0,1,0.5919999999999987,20.381,19.789
1,0,0,1,1,0,0,0,9,94.0,0,1,3.321000000000005,44.462,41.141
1,1,0,3,4,0,0,1,2,122.0,0,1,0.3379999999999992,9.523,9.185
0,0,0,0,0,0,0,0,1,125.0,0,0,0.2560000000000001,1.108,0.852
0,1,1,0,0,0,0,1,2,102.0,0,1,-3.5970000000000004,6.665,10.262
1,2,1,3,2,0,0,0,4,100.0,0,1,-3.0219999999999985,14.765,17.787
1,1,0,3,2,0,0,1,2,135.0,0,1,-5.615,10.507,16.122
1,2,0,6,6,0,0,0,2,136.0,1,0,-0.1719999999999997,5.357,5.529
0,2,1,2,1,0,1,0,3,100.0,0,1,-26.787,13.987,40.774
